time_sec,thruster_0_thrust_N,thruster_1_thrust_N,thruster_2_thrust_N,thruster_3_thrust_N,thruster_4_thrust_N,thruster_5_thrust_N,thruster_6_thrust_N,thruster_7_thrust_N
0.430000,0.000000,0.000000,,,,,,
0.480000,0.000000,0.000000,,,,,,
0.530000,0.000000,0.000000,,,,,,
0.580000,0.000000,0.000000,,,,,,
0.630000,0.000000,0.000000,0.000000,0.000000,0.000000,,,
0.680000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
0.730000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.780000,0.003842,0.002318,-0.002350,-0.003801,-0.000004,-0.000004,-0.000004,-0.000004
0.830000,0.025055,0.015299,-0.015614,-0.024656,-0.000042,-0.000042,-0.000042,-0.000042
0.880000,0.071432,0.044225,-0.045115,-0.070311,-0.000127,-0.000127,-0.000127,-0.000127
0.930000,0.148992,0.093388,-0.095049,-0.146912,-0.000257,-0.000257,-0.000257,-0.000257
0.980000,0.262374,0.166160,-0.168694,-0.259211,-0.000434,-0.000434,-0.000434,-0.000434
1.030000,0.414923,0.265043,-0.268454,-0.410680,-0.000666,-0.000666,-0.000666,-0.000666
1.080000,0.608804,0.391758,-0.395936,-0.603622,-0.000961,-0.000961,-0.000961,-0.000961
1.130000,0.845104,0.547314,-0.552028,-0.839269,-0.001328,-0.001328,-0.001328,-0.001328
1.180000,1.123899,0.732061,-0.736955,-1.117853,-0.001779,-0.001779,-0.001779,-0.001779
1.230000,1.444297,0.945734,-0.950315,-1.438649,-0.002322,-0.002328,-0.002322,-0.002322
1.280000,1.804469,1.187464,-1.191103,-1.799990,-0.002986,-0.002991,-0.002986,-0.002986
1.330000,2.198305,1.453482,-1.455444,-2.195893,-0.003773,-0.003777,-0.003773,-0.003773
1.380000,2.629334,1.746669,-1.746035,-2.630112,-0.004721,-0.004725,-0.004721,-0.004721
1.430000,3.089107,2.061700,-2.057478,-3.094280,-0.005842,-0.005846,-0.005842,-0.005842
1.480000,3.572220,2.395330,-2.386454,-3.583077,-0.007161,-0.007164,-0.007161,-0.007161
1.530000,4.072471,2.743735,-2.729110,-4.090333,-0.008703,-0.008705,-0.008703,-0.008703
1.580000,4.582955,3.102549,-3.081099,-4.609108,-0.010492,-0.010494,-0.010492,-0.010492
1.630000,5.096180,3.466917,-3.437646,-5.131805,-0.012553,-0.012555,-0.012553,-0.012553
1.680000,5.604210,3.831567,-3.793627,-5.650303,-0.014911,-0.014913,-0.014911,-0.014911
1.730000,6.101818,4.193191,-4.145867,-6.159202,-0.017612,-0.017613,-0.017612,-0.017612
1.780000,6.574192,4.541002,-4.484017,-6.643153,-0.020613,-0.020614,-0.020613,-0.020613
1.830000,7.016809,4.871930,-4.805239,-7.097351,-0.023954,-0.023955,-0.023954,-0.023954
